schema_name,table_name,column_name,data_type,column_comment,include_in_training,exclude_reason
public,layer_outlet_sewage,y,double precision,Y坐标,yes,
public,layer_outlet_sewage,name,character varying,名称,yes,
public,layer_outlet_sewage,code,character varying,编码,yes,
public,layer_outlet_sewage,jcdbh,character varying,监测点编号,yes,
public,layer_outlet_sewage,geom,"geometry(Point,4326)",空间几何数据,yes,
public,layer_partition_2,id,integer,主键ID,yes,
public,layer_partition_2,geom,"geometry(MultiPolygon,4326)",空间几何数据,yes,
public,layer_partition_2,name,character varying(50),分区名称,yes,
public,layer_partition_2,name_1,character varying(50),一级分区名称,yes,
public,layer_partition_2,area,double precision,面积,yes,
public,layer_partition_3,id,integer,主键ID,yes,
public,layer_partition_3,geom,"geometry(MultiPolygon,4326)",空间几何数据,yes,
public,layer_partition_3,name,character varying(50),分区名称,yes,
public,layer_partition_3,name_2,character varying(50),二级分区名称,yes,
public,layer_partition_3,name_1,character varying(50),一级分区名称,yes,
public,layer_partition_3,area,double precision,面积,yes,
public,layer_reservoir_provincial,id,integer,主键ID,yes,
public,layer_reservoir_provincial,geom,"geometry(MultiPolygon,4326)",空间几何数据,yes,
public,layer_reservoir_provincial,objectid,bigint,对象唯一标识,yes,
public,layer_reservoir_provincial,cc,character varying(8),行政区划编码,yes,
public,layer_reservoir_provincial,gb,character varying(16),国标编码,yes,
public,layer_reservoir_provincial,bas,character varying(16),流域编码,yes,
public,layer_reservoir_provincial,name,character varying(64),名称,yes,
public,layer_reservoir_provincial,period,character varying(16),时期/阶段,yes,
public,layer_reservoir_provincial,type,character varying(32),类型,yes,
public,layer_reservoir_provincial,wq,character varying(8),水质类别,yes,
public,layer_reservoir_provincial,aheight,double precision,坝高,yes,
public,layer_reservoir_provincial,parea,double precision,永久占地面积,yes,
public,layer_reservoir_provincial,ec,character varying(16),生态分区编码,yes,
public,layer_reservoir_provincial,grade,character varying(8),等级/级别,yes,
public,layer_reservoir_provincial,length,double precision,长度,yes,
public,layer_reservoir_provincial,mheight,double precision,最大坝高,yes,
public,layer_reservoir_provincial,sdtf,character varying(4),水系特征码,yes,
public,layer_reservoir_provincial,shrc,character varying(64),所属河湖编码,yes,
public,layer_reservoir_provincial,vol,double precision,库容,yes,
public,layer_reservoir_provincial,featid,character varying(16),要素唯一标识,yes,
public,layer_reservoir_provincial,areacode,bigint,行政区划代码,yes,
public,layer_reservoir_provincial,changetype,integer,变更类型,yes,
public,layer_reservoir_provincial,shape_leng,double precision,要素长度,yes,
public,layer_reservoir_provincial,shape_area,double precision,要素面积,yes,
public,layer_reservoir_provincial_label,geom,"geometry(Point,4326)",空间几何数据,yes,
public,layer_reservoir_provincial_label,cc,character varying(8),行政区划编码,yes,
public,layer_reservoir_provincial_label,gb,character varying(16),国标编码,yes,
public,layer_reservoir_provincial_label,bas,character varying(16),流域编码,yes,
public,layer_reservoir_provincial_label,name,character varying(64),名称,yes,
public,layer_reservoir_provincial_label,period,character varying(16),时期/阶段,yes,
public,layer_reservoir_provincial_label,type,character varying(32),类型,yes,
public,layer_reservoir_provincial_label,wq,character varying(8),水质类别,yes,
public,layer_reservoir_provincial_label,aheight,double precision,坝高,yes,
public,layer_reservoir_provincial_label,parea,double precision,永久占地面积,yes,
public,layer_reservoir_provincial_label,ec,character varying(16),生态分区编码,yes,
public,layer_reservoir_provincial_label,grade,character varying(8),等级/级别,yes,
public,layer_reservoir_provincial_label,length,double precision,长度,yes,
public,layer_reservoir_provincial_label,mheight,double precision,最大坝高,yes,
public,layer_reservoir_provincial_label,sdtf,character varying(4),水系特征码,yes,
public,layer_reservoir_provincial_label,shrc,character varying(64),所属河湖编码,yes,
public,layer_reservoir_provincial_label,vol,double precision,库容,yes,
public,layer_reservoir_provincial_label,featid,character varying(16),要素唯一标识,yes,
public,layer_reservoir_provincial_label,areacode,bigint,行政区划代码,yes,
public,layer_reservoir_provincial_label,changetype,integer,变更类型,yes,
