object_type,schema_name,table_name,column_name,exclude_reason
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_anchorage_info_df,dt,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_clean_company_df,id,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_clean_company_df,comp_name,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_clean_company_df,comp_code,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_clean_company_df,legal_person,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_clean_company_df,tel,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_clean_company_df,area,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_clean_company_df,address,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_clean_company_df,business_scope,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_clean_company_df,validity_end,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_clean_company_df,create_by,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_clean_company_df,create_date,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_clean_company_df,update_by,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_clean_company_df,update_date,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_clean_company_df,seal_img_url,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_clean_company_df,dt,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_coordination_index_df,id,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_coordination_index_df,on_duty_receive_ship_count,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_coordination_index_df,apply_num,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_coordination_index_df,receive_num,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_coordination_index_df,transfer_num,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_coordination_index_df,process_num,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_coordination_index_df,day,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_coordination_index_df,coordination_index,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_coordination_index_df,dt,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_pollution_weight_df,id,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_pollution_weight_df,date,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_pollution_weight_df,kc_shlj,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_pollution_weight_df,kc_shws,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_pollution_weight_df,kc_hyws,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_pollution_weight_df,kc_fy,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_pollution_weight_df,hc_shlj,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_pollution_weight_df,hc_shws,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_pollution_weight_df,hc_hyws,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_pollution_weight_df,hc_fy,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_pollution_weight_df,qt_shlj,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_pollution_weight_df,qt_shws,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_pollution_weight_df,qt_hyws,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_pollution_weight_df,qt_fy,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_pollution_weight_df,dt,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_receive_ship_kpi_df,id,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_receive_ship_kpi_df,day,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_receive_ship_kpi_df,receive_ship_id,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_receive_ship_kpi_df,receive_ship_name,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_receive_ship_kpi_df,company_id,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_receive_ship_kpi_df,company_name,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_receive_ship_kpi_df,ship_select_count,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_receive_ship_kpi_df,qrcode_js_count,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_receive_ship_kpi_df,subscribe_js_count,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_day_receive_ship_kpi_df,js_poll_num,所属表被排除: 临时导入表，数据不稳定且字段语义未经业务确认
