table_schema,table_name,column_name,data_type,udt_name,table_comment,table_prefix
public,layer_reservoir_provincial_合并,gb,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial_合并,bas,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial_合并,name,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial_合并,period,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial_合并,type,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial_合并,wq,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial_合并,aheight,double precision,float8,省控水库,layer_reservoir
public,layer_reservoir_provincial_合并,parea,double precision,float8,省控水库,layer_reservoir
public,layer_reservoir_provincial_合并,ec,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial_合并,grade,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial_合并,length,double precision,float8,省控水库,layer_reservoir
public,layer_reservoir_provincial_合并,mheight,double precision,float8,省控水库,layer_reservoir
public,layer_reservoir_provincial_合并,sdtf,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial_合并,shrc,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial_合并,vol,double precision,float8,省控水库,layer_reservoir
public,layer_reservoir_provincial_合并,featid,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial_合并,elemstime,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial_合并,elemetime,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial_合并,ecrm,integer,int4,省控水库,layer_reservoir
public,layer_reservoir_provincial_合并,wrid,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial_合并,wrgr,integer,int4,省控水库,layer_reservoir
public,layer_reservoir_provincial_合并,areacode,bigint,int8,省控水库,layer_reservoir
public,layer_reservoir_provincial_合并,changetype,integer,int4,省控水库,layer_reservoir
public,layer_reservoir_provincial_合并,changeatt,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial_合并,id,integer,int4,省控水库,layer_reservoir
public,layer_river_provincial,geom,USER-DEFINED,geometry,,layer_river
public,layer_river_provincial,cc,character varying,varchar,,layer_river
public,layer_river_provincial,gb,character varying,varchar,,layer_river
public,layer_river_provincial,bas,character varying,varchar,,layer_river
public,layer_river_provincial,type,character varying,varchar,,layer_river
public,layer_river_provincial,ec,character varying,varchar,,layer_river
public,layer_river_provincial,grade,character varying,varchar,,layer_river
public,layer_river_provincial,length,double precision,float8,,layer_river
public,layer_river_provincial,period,character varying,varchar,,layer_river
public,layer_river_provincial,shrc,character varying,varchar,,layer_river
public,layer_river_provincial,sdtf,character varying,varchar,,layer_river
public,layer_river_provincial,width,double precision,float8,,layer_river
public,layer_river_provincial,featid,character varying,varchar,,layer_river
public,layer_river_provincial,elemstime,character varying,varchar,,layer_river
public,layer_river_provincial,elemetime,character varying,varchar,,layer_river
public,layer_river_provincial,ecrm,integer,int4,,layer_river
public,layer_river_provincial,wrid,character varying,varchar,,layer_river
public,layer_river_provincial,wrgr,integer,int4,,layer_river
public,layer_river_provincial,areacode,bigint,int8,,layer_river
public,layer_river_provincial,name,character varying,varchar,,layer_river
public,layer_river_provincial,changetype,integer,int4,,layer_river
public,layer_river_provincial,changeatt,character varying,varchar,,layer_river
public,layer_river_provincial,id,integer,int4,,layer_river
public,layer_river_provincial_bak0617,id,integer,int4,省控河流,layer_river
public,layer_river_provincial_bak0617,geom,USER-DEFINED,geometry,省控河流,layer_river
public,layer_river_provincial_bak0617,cc,character varying,varchar,省控河流,layer_river
public,layer_river_provincial_bak0617,gb,character varying,varchar,省控河流,layer_river
public,layer_river_provincial_bak0617,bas,character varying,varchar,省控河流,layer_river
public,layer_river_provincial_bak0617,type,character varying,varchar,省控河流,layer_river
public,layer_river_provincial_bak0617,ec,character varying,varchar,省控河流,layer_river
public,layer_river_provincial_bak0617,grade,character varying,varchar,省控河流,layer_river
public,layer_river_provincial_bak0617,length,double precision,float8,省控河流,layer_river
public,layer_river_provincial_bak0617,period,character varying,varchar,省控河流,layer_river
public,layer_river_provincial_bak0617,shrc,character varying,varchar,省控河流,layer_river
public,layer_river_provincial_bak0617,sdtf,character varying,varchar,省控河流,layer_river
public,layer_river_provincial_bak0617,width,double precision,float8,省控河流,layer_river
public,layer_river_provincial_bak0617,featid,character varying,varchar,省控河流,layer_river
public,layer_river_provincial_bak0617,elemstime,character varying,varchar,省控河流,layer_river
public,layer_river_provincial_bak0617,elemetime,character varying,varchar,省控河流,layer_river
public,layer_river_provincial_bak0617,ecrm,integer,int4,省控河流,layer_river
public,layer_river_provincial_bak0617,wrid,character varying,varchar,省控河流,layer_river
public,layer_river_provincial_bak0617,wrgr,integer,int4,省控河流,layer_river
public,layer_river_provincial_bak0617,areacode,bigint,int8,省控河流,layer_river
public,layer_river_provincial_bak0617,name,character varying,varchar,省控河流,layer_river
public,layer_river_provincial_bak0617,changetype,integer,int4,省控河流,layer_river
public,layer_river_provincial_bak0617,changeatt,character varying,varchar,省控河流,layer_river
public,layer_section,id,integer,int4,工业园区-监测断面,layer_section
