list_name,table_name,column_name,source_comment,list_comment,match_status,issue
candidate_whitelist,min_value_setting,value,最低检出限（mg/L）,最低检出限（mg/L）,match,
candidate_whitelist,min_value_setting,create_by,创建人,创建人,match,
candidate_whitelist,min_value_setting,create_time,创建时间,创建时间,match,
candidate_whitelist,min_value_setting,update_by,更新人,更新人,match,
candidate_whitelist,min_value_setting,update_time,更新时间,更新时间,match,
candidate_whitelist,min_value_setting,del_flag,删除标记：0 未删除、1 已删除,删除标记：0 未删除、1 已删除,match,
candidate_whitelist,rs_enterprise_info_lsg,id,主键id,主键id,match,
candidate_whitelist,rs_enterprise_info_lsg,name,磷石膏库名称,磷石膏库名称,match,
candidate_whitelist,rs_enterprise_info_lsg,mine_name,矿山名称,矿山名称,match,
candidate_whitelist,rs_enterprise_info_lsg,enterprise,所属企业,所属企业,match,
candidate_whitelist,rs_enterprise_info_lsg,city,市,市,match,
candidate_whitelist,rs_enterprise_info_lsg,county,县,县,match,
candidate_whitelist,rs_enterprise_info_lsg,address,污染源地址,污染源地址,match,
candidate_whitelist,rs_enterprise_info_lsg,region_code,行政区编码,行政区编码,match,
candidate_whitelist,rs_enterprise_info_lsg,region_name,行政区名称,行政区名称,match,
candidate_whitelist,rs_enterprise_info_lsg,out_type,排渣方式,排渣方式,match,
candidate_whitelist,rs_enterprise_info_lsg,design_storage,设计库容（单位：万立方米）,设计库容（单位：万立方米）,match,
candidate_whitelist,rs_enterprise_info_lsg,existed_storage,现有堆量（单位：万立方米）,现有堆量（单位：万立方米）,match,
candidate_whitelist,rs_enterprise_info_lsg,floor_area,占地面积（单位平方公里）,占地面积（单位平方公里）,match,
candidate_whitelist,rs_enterprise_info_lsg,product_status,目前生产情况,目前生产情况,match,
candidate_whitelist,rs_enterprise_info_lsg,lon,经度,经度,match,
candidate_whitelist,rs_enterprise_info_lsg,lat,纬度,纬度,match,
candidate_whitelist,rs_enterprise_info_lsg,create_by,创建人,创建人,match,
candidate_whitelist,rs_enterprise_info_lsg,create_time,创建时间,创建时间,match,
candidate_whitelist,rs_enterprise_info_lsg,update_by,更新人,更新人,match,
candidate_whitelist,rs_enterprise_info_lsg,update_time,更新时间,更新时间,match,
candidate_whitelist,rs_enterprise_info_lsg,del_flag,删除标记,删除标记,match,
candidate_whitelist,rs_enterprise_info_lsg,product_capacity,磷酸产能（万吨/年）,磷酸产能（万吨/年）,match,
candidate_whitelist,rs_enterprise_info_wade,id,主键id,主键id,match,
candidate_whitelist,rs_enterprise_info_wade,name,污染源名称,污染源名称,match,
candidate_whitelist,rs_enterprise_info_wade,address,污染源地址,污染源地址,match,
candidate_whitelist,rs_enterprise_info_wade,region_code,行政区编码,行政区编码,match,
candidate_whitelist,rs_enterprise_info_wade,region_name,行政区名称,行政区名称,match,
candidate_whitelist,rs_enterprise_info_wade,liaison,环保联系人,环保联系人,match,
candidate_whitelist,rs_enterprise_info_wade,liaison_tel,环保联系人电话,环保联系人电话,match,
candidate_whitelist,rs_enterprise_info_wade,supervision_level,监管级别：0-一般、1-重点,监管级别：0-一般、1-重点,match,
candidate_whitelist,rs_enterprise_info_wade,industry_type,行业类型,行业类型,match,
candidate_whitelist,rs_enterprise_info_wade,lon,经度,经度,match,
candidate_whitelist,rs_enterprise_info_wade,lat,纬度,纬度,match,
candidate_whitelist,rs_enterprise_info_wade,create_by,创建人,创建人,match,
candidate_whitelist,rs_enterprise_info_wade,create_time,创建时间,创建时间,match,
candidate_whitelist,rs_enterprise_info_wade,update_by,更新人,更新人,match,
candidate_whitelist,rs_enterprise_info_wade,update_time,更新时间,更新时间,match,
candidate_whitelist,rs_enterprise_info_wade,del_flag,删除标记,删除标记,match,
candidate_whitelist,rs_industrial_info_yc,id,主键,主键,match,
candidate_whitelist,rs_industrial_info_yc,name,名称,名称,match,
candidate_whitelist,rs_industrial_info_yc,name_part,分园名称,分园名称,match,
candidate_whitelist,rs_industrial_info_yc,region_code,行政区划编码,行政区划编码,match,
candidate_whitelist,rs_industrial_info_yc,region_name,行政区名称,行政区名称,match,
candidate_whitelist,rs_industrial_info_yc,park_level,园区级别：0-未知、1-国家级、2-省级、3-市级,园区级别：0-未知、1-国家级、2-省级、3-市级,match,
candidate_whitelist,rs_industrial_info_yc,lon,经度,经度,match,
candidate_whitelist,rs_industrial_info_yc,lat,纬度,纬度,match,
candidate_whitelist,rs_industrial_info_yc,belong_watershed,所属流域,所属流域,match,
candidate_whitelist,rs_industrial_info_yc,is_within_1km_yangtze_mainstream,是否在长江干流岸线一公里范围内,是否在长江干流岸线一公里范围内,match,
